Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Global,1990,All ages,Both,All causes,Percent of total DALYs,1,1,1
All Population,Global,1990 - 2023,All ages,Both,All causes,DALYs annual % change,-0.01189023249617832,,
All Population,Global,1990,All ages,Both,"Communicable, maternal, neonatal, and nutritional diseases",Percent of total DALYs,0.47189548953169813,0.45318823709375455,0.4927601861534111
All Population,Global,1990 - 2023,All ages,Both,"Communicable, maternal, neonatal, and nutritional diseases",DALYs annual % change,-0.03193518401341906,,
All Population,Global,1990,All ages,Both,Tuberculosis,Percent of total DALYs,0.03172786009260808,0.024504410100418827,0.04063140227998699
All Population,Global,1990 - 2023,All ages,Both,Tuberculosis,DALYs annual % change,-0.03339751820205711,,
All Population,Global,1990,All ages,Both,HIV/AIDS,Percent of total DALYs,0.007806192032549999,0.0069202210256891486,0.008872849659614141
All Population,Global,1990 - 2023,All ages,Both,HIV/AIDS,DALYs annual % change,0.01008586083558299,,
All Population,Global,1990,All ages,Both,HIV/AIDS resulting in other diseases,Percent of total DALYs,0.004999292541246322,0.004347532233060411,0.006003629631214364
All Population,Global,1990 - 2023,All ages,Both,HIV/AIDS resulting in other diseases,DALYs annual % change,0.015136990867915387,,
All Population,Global,1990,All ages,Both,Diarrheal diseases,Percent of total DALYs,0.0795537856555959,0.06459526403302426,0.09563152564693883
All Population,Global,1990 - 2023,All ages,Both,Diarrheal diseases,DALYs annual % change,-0.053453883339736434,,
All Population,Global,1990,All ages,Both,Typhoid fever,Percent of total DALYs,0.008051763890081132,0.0039487139396387465,0.0130175584061737
All Population,Global,1990 - 2023,All ages,Both,Typhoid fever,DALYs annual % change,-0.05509730271835922,,
All Population,Global,1990,All ages,Both,Paratyphoid fever,Percent of total DALYs,0.0014403013653358047,0.0006648939225658511,0.002764664310703222
All Population,Global,1990 - 2023,All ages,Both,Paratyphoid fever,DALYs annual % change,-0.060645300897162024,,
All Population,Global,1990,All ages,Both,Other intestinal infectious diseases,Percent of total DALYs,0.00003614208025793732,0.00002706645354900215,0.00004559079450341001
All Population,Global,1990 - 2023,All ages,Both,Other intestinal infectious diseases,DALYs annual % change,-0.013728544185875352,,
All Population,Global,1990,All ages,Both,Lower respiratory infections,Percent of total DALYs,0.07390334329517792,0.06318347757283403,0.08524719387665355
All Population,Global,1990 - 2023,All ages,Both,Lower respiratory infections,DALYs annual % change,-0.03428144477659587,,
All Population,Global,1990,All ages,Both,Upper respiratory infections,Percent of total DALYs,0.0022655121191269413,0.001301197835896578,0.0037481267747016224
All Population,Global,1990 - 2023,All ages,Both,Upper respiratory infections,DALYs annual % change,-0.012321369764786384,,
All Population,Global,1990,All ages,Both,Otitis media,Percent of total DALYs,0.0007668553665928054,0.0004937231590429559,0.0011624634267242348
All Population,Global,1990 - 2023,All ages,Both,Otitis media,DALYs annual % change,-0.0073228691922785005,,
All Population,Global,1990,All ages,Both,Meningitis,Percent of total DALYs,0.013351582575634615,0.010034824622535885,0.016882505554802883
All Population,Global,1990 - 2023,All ages,Both,Meningitis,DALYs annual % change,-0.03488580740644248,,
All Population,Global,1990,All ages,Both,Encephalitis,Percent of total DALYs,0.0020851293273777567,0.0013810906806475003,0.0030442903470081846
All Population,Global,1990 - 2023,All ages,Both,Encephalitis,DALYs annual % change,-0.02127375775466775,,
All Population,Global,1990,All ages,Both,Diphtheria,Percent of total DALYs,0.0012674962449579356,0.0009557059758110674,0.001602187437860116
All Population,Global,1990 - 2023,All ages,Both,Diphtheria,DALYs annual % change,-0.0838569117460819,,
All Population,Global,1990,All ages,Both,Pertussis,Percent of total DALYs,0.009017155870004349,0.004607952790466066,0.015414681285351601
All Population,Global,1990 - 2023,All ages,Both,Pertussis,DALYs annual % change,-0.03953116916332085,,
All Population,Global,1990,All ages,Both,Tetanus,Percent of total DALYs,0.008641705460191409,0.0062078837368600235,0.011610057586148614
All Population,Global,1990 - 2023,All ages,Both,Tetanus,DALYs annual % change,-0.10179464185460284,,
All Population,Global,1990,All ages,Both,Measles,Percent of total DALYs,0.03493609717703462,0.01538822688038035,0.05941020073245799
All Population,Global,1990 - 2023,All ages,Both,Measles,DALYs annual % change,-0.07426793829184591,,
All Population,Global,1990,All ages,Both,Varicella and herpes zoster,Percent of total DALYs,0.00040931588976060265,0.00036172138117506055,0.0004542789444427664
All Population,Global,1990 - 2023,All ages,Both,Varicella and herpes zoster,DALYs annual % change,-0.021741970413513657,,
All Population,Global,1990,All ages,Both,Neglected tropical diseases and malaria,Percent of total DALYs,0.03641798062191815,0.025612017766265278,0.05361633141296112
All Population,Global,1990 - 2023,All ages,Both,Neglected tropical diseases and malaria,DALYs annual % change,-0.02290669354742727,,
All Population,Global,1990,All ages,Both,Malaria,Percent of total DALYs,0.023649156270314026,0.01238751524967368,0.04171535266074159
All Population,Global,1990 - 2023,All ages,Both,Malaria,DALYs annual % change,-0.019400116690431794,,
All Population,Global,1990,All ages,Both,Chagas disease,Percent of total DALYs,0.0001819747817593096,0.000168491603137452,0.00019442460365310085
All Population,Global,1990 - 2023,All ages,Both,Chagas disease,DALYs annual % change,-0.029447823087041403,,
All Population,Global,1990,All ages,Both,Leishmaniasis,Percent of total DALYs,0.0022700047715479062,0.0011622835161212044,0.0040607847357123335
All Population,Global,1990 - 2023,All ages,Both,Leishmaniasis,DALYs annual % change,-0.06537305439507707,,
All Population,Global,1990,All ages,Both,Visceral leishmaniasis,Percent of total DALYs,0.0020520628284505763,0.0009526512577283541,0.0038533926784850244
All Population,Global,1990 - 2023,All ages,Both,Visceral leishmaniasis,DALYs annual % change,-0.09819053611794946,,
All Population,Global,1990,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,Percent of total DALYs,0.00021794194309732645,0.00013804602052257462,0.0003424411674967834
All Population,Global,1990 - 2023,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,DALYs annual % change,-0.005582258080561393,,
All Population,Global,1990,All ages,Both,African trypanosomiasis,Percent of total DALYs,0.0005446932162770318,0.0002521097554021176,0.0009455174687331743
All Population,Global,1990 - 2023,All ages,Both,African trypanosomiasis,DALYs annual % change,-0.09934243982331359,,
All Population,Global,1990,All ages,Both,Schistosomiasis,Percent of total DALYs,0.0007732907048341468,0.0005843120425222208,0.0010817476710135196
All Population,Global,1990 - 2023,All ages,Both,Schistosomiasis,DALYs annual % change,-0.013275453341617173,,
All Population,Global,1990,All ages,Both,Cysticercosis,Percent of total DALYs,0.00040583934094953744,0.0002857032291150883,0.0005409391796460813
All Population,Global,1990 - 2023,All ages,Both,Cysticercosis,DALYs annual % change,-0.010704727073538069,,
All Population,Global,1990,All ages,Both,Cystic echinococcosis,Percent of total DALYs,0.00011880076189298216,0.00009207635480255216,0.00015045766242200334
All Population,Global,1990 - 2023,All ages,Both,Cystic echinococcosis,DALYs annual % change,-0.04919280178393608,,
All Population,Global,1990,All ages,Both,Lymphatic filariasis,Percent of total DALYs,0.0014052067191182398,0.001005289395168899,0.0018765913699827664
All Population,Global,1990 - 2023,All ages,Both,Lymphatic filariasis,DALYs annual % change,-0.04133716453643554,,
All Population,Global,1990,All ages,Both,Onchocerciasis,Percent of total DALYs,0.0005000346608635447,0.0003056657063466011,0.0006923065106129246
