dataset,dataset_title,panel,method_pair,line_name,alpha,y_normalized,y_raw,pg_sigma_used,pg_sigma_plotted
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.76,0.0,0.7499388456344604,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.78,0.5047082477012577,0.754686176776886,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.8,0.5502762792557386,0.7551147937774658,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.8200000000000001,0.2988821827699414,0.7527501583099365,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.84,0.3216059988114333,0.7529639005661011,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.86,0.5004182244273898,0.754645824432373,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.88,0.4212397298823698,0.7539010643959045,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.9,0.5031303809432177,0.7546713352203369,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.92,0.6253802022127277,0.7558212280273438,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.94,0.19323481493844277,0.7517564296722412,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.96,0.90383249571391,0.758440375328064,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.98,0.7201345862808898,0.7567124962806702,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,1.0,0.38975209967875196,0.7536048889160156,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.0,0.09630979911808661,0.39390480518341064,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.02,0.21692124962096018,0.4002857208251953,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.04,0.0,0.38880956172943115,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.06,0.4653456413847768,0.41342854499816895,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.08,0.4680473270602853,0.41357147693634033,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.1,0.5787578544120459,0.41942858695983887,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.12,0.6696665354615804,0.42423808574676514,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.14,0.6696665354615804,0.42423808574676514,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.16,0.6696665354615804,0.42423808574676514,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.18,0.7056694826869977,0.4261428117752075,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.2,0.7452743019326823,0.4282380938529968,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.22,0.8172813230247494,0.43204760551452637,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.24,0.8172813230247494,0.43204760551452637,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.26,0.8172813230247494,0.43204760551452637,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.28,0.8172813230247494,0.43204760551452637,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.3,0.8739874295383839,0.43504762649536133,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.32,0.8739874295383839,0.43504762649536133,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.34,0.8739874295383839,0.43504762649536133,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.36,0.8559859559256753,0.43409526348114014,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.38,0.8739874295383839,0.43504762649536133,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.4,0.8739874295383839,0.43504762649536133,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.42,0.8739874295383839,0.43504762649536133,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.44,0.8739874295383839,0.43504762649536133,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.46,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.48,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.5,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.52,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.54,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.56,0.9459944506304512,0.43885713815689087,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.58,0.9459944506304512,0.43885713815689087,0.08,0.1
