Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Global,1990 - 2023,All ages,Both,Schistosomiasis,DALYs annual % change,-0.013275453341617173,,
All Population,Global,2023,All ages,Both,Cysticercosis,Percent of total DALYs,0.00042194484213355576,0.00028674810106939995,0.0006003412306221813
All Population,Global,1990 - 2023,All ages,Both,Cysticercosis,DALYs annual % change,-0.010704727073538069,,
All Population,Global,2023,All ages,Both,Cystic echinococcosis,Percent of total DALYs,0.000034644784524592326,0.000026713561152828082,0.000042631270033581086
All Population,Global,1990 - 2023,All ages,Both,Cystic echinococcosis,DALYs annual % change,-0.04919280178393608,,
All Population,Global,2023,All ages,Both,Lymphatic filariasis,Percent of total DALYs,0.0005304384501075936,0.00032286442993989886,0.0008051654706726086
All Population,Global,1990 - 2023,All ages,Both,Lymphatic filariasis,DALYs annual % change,-0.04133716453643554,,
All Population,Global,2023,All ages,Both,Onchocerciasis,Percent of total DALYs,0.00030992935425950505,0.00018867963670213367,0.00044367044421420336
All Population,Global,1990 - 2023,All ages,Both,Onchocerciasis,DALYs annual % change,-0.026346859421486957,,
All Population,Global,2023,All ages,Both,Trachoma,Percent of total DALYs,0.00005168426331886294,0.000034828726480188153,0.00007358113433808067
All Population,Global,1990 - 2023,All ages,Both,Trachoma,DALYs annual % change,-0.026704211477816996,,
All Population,Global,2023,All ages,Both,Dengue,Percent of total DALYs,0.0010785517768153465,0.0005444080629805688,0.0020657705227524366
All Population,Global,1990 - 2023,All ages,Both,Dengue,DALYs annual % change,0.010882397906432625,,
All Population,Global,2023,All ages,Both,Yellow fever,Percent of total DALYs,0.00011102700423921832,0.000039690296509284845,0.0002363894458925772
All Population,Global,1990 - 2023,All ages,Both,Yellow fever,DALYs annual % change,-0.05676370320595696,,
All Population,Global,2023,All ages,Both,Rabies,Percent of total DALYs,0.00031144334617758774,0.00012614216400226493,0.0005695987732863191
All Population,Global,1990 - 2023,All ages,Both,Rabies,DALYs annual % change,-0.03907230884813306,,
All Population,Global,2023,All ages,Both,Intestinal nematode infections,Percent of total DALYs,0.0005483648487346284,0.0003879574912385106,0.0008013013969294141
All Population,Global,1990 - 2023,All ages,Both,Intestinal nematode infections,DALYs annual % change,-0.059816743421904954,,
All Population,Global,2023,All ages,Both,Ascariasis,Percent of total DALYs,0.00028654609311103493,0.00021339913233825106,0.000388478377586673
All Population,Global,1990 - 2023,All ages,Both,Ascariasis,DALYs annual % change,-0.056006961591094154,,
All Population,Global,2023,All ages,Both,Trichuriasis,Percent of total DALYs,0.00010021884298749393,0.00005547438816516603,0.00016517869541308506
All Population,Global,1990 - 2023,All ages,Both,Trichuriasis,DALYs annual % change,-0.04974078182566767,,
All Population,Global,2023,All ages,Both,Hookworm disease,Percent of total DALYs,0.00016159991263609979,0.00010251161077113356,0.00025220107833725397
All Population,Global,1990 - 2023,All ages,Both,Hookworm disease,DALYs annual % change,-0.06966041362293564,,
All Population,Global,2023,All ages,Both,Food-borne trematodiases,Percent of total DALYs,0.00036806370030806676,0.00021818509482192576,0.0006012005960425717
All Population,Global,1990 - 2023,All ages,Both,Food-borne trematodiases,DALYs annual % change,-0.018400496014493846,,
All Population,Global,2023,All ages,Both,Other neglected tropical diseases,Percent of total DALYs,0.0018295352089708508,0.0013114047342704226,0.002642808841950061
All Population,Global,1990 - 2023,All ages,Both,Other neglected tropical diseases,DALYs annual % change,-0.007454479313529924,,
